state,TL,TC,TR,ML,MC,MR,BL,BC,BR
_+_+_+_+_+_+ + + ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+X+_+_+_+_+ + + ,0.7520602385475639,0.0,0.7346341322896615,0.7292128737479899,0.7532918305391263,0.714796492805581,0.7832557715178297,0.6994989591722189,0.7452663456317419
_+X+_+_+_+X+ + +O,0.8043981838253531,0.0,0.6561460662844408,0.6550049972393253,0.830414952122595,0.0,0.8894595298296191,0.6984867147962766,0.0
_+X+_+_+X+X+ +O+O,0.372428909694946,0.0,0.4657339030965156,0.7708938153803871,0.0,0.0,0.9999999999999998,0.0,0.0
_+X+_+_+X+X+O+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+X+_+_+_+X+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11326151613708765,0.0
_+X+_+_+_+_+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520159130187385
X+_+_+_+_+_+ + + ,0.0,0.6954620026888481,0.674162451342458,0.6700154570273722,0.7528125612642507,0.683545355901773,0.6803676692301122,0.7421620688109588,0.6918904211387498
X+_+_+_+_+X+O+X+O,0.0,0.44983921933947424,0.34361211656201784,0.2994878391073977,0.8663031303636666,0.0,0.0,0.0,0.0
X+_+X+_+O+X+O+X+O,0.0,0.4999999999999999,0.0,3.499601159652841e-12,0.0,0.0,0.0,0.0,0.0
X+_+X+O+O+X+O+X+O,0.0,0.0,0.0,0.95601953488896,0.67232,0.0,0.36000000000000004,0.0,0.0
X+_+_+_+O+X+O+X+O,0.0,0.0,0.0,0.0,0.5575683737320978,0.0,0.07745126400000002,0.0,0.0
X+_+_+_+_+_+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.5554610557135493,0.0,0.05491631001600002
X+_+_+_+_+_+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391358234488679
_+X+_+X+_+_+ + +O,0.6779275007809737,0.0,0.8520715735388437,0.0,0.8510780036611503,0.7928249652469563,0.8554454398636377,0.8228421677897109,0.0
_+X+_+X+_+X+ +O+O,0.8280305033486564,0.0,0.5208454230227935,0.0,0.8999517001292914,0.0,0.9999999999999998,0.0,0.0
_+X+_+X+_+X+O+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+X+_+X+_+_+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36313169749630536,0.0
_+_+_+X+_+_+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4506849090174527
_+_+_+X+_+_+ + + ,0.7337513944808614,0.7285603504362911,0.7156635220831474,0.0,0.7725772683597293,0.644408253972875,0.7388660718965678,0.6690546716115382,0.7480147751932849
_+_+_+X+_+_+X+ +O,0.8540868408264406,0.5793763338679486,0.6720312208744379,0.0,0.6494935547837507,0.6664419378826736,0.0,0.4619177408113956,0.0
_+O+X+X+_+X+X+O+O,0.0,0.0,0.0,0.0,0.9999999998696298,0.0,0.0,0.0,0.0
_+O+X+X+O+X+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+O+_+X+_+X+X+O+O,0.0,0.16000000000000006,0.0,0.0,0.0,0.0,0.0,0.4771456000000001,0.0
_+_+_+X+_+_+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6792833561396711,0.12284845914960695
_+_+_+_+_+_+X+ + ,0.7122028041079613,0.6735088715219681,0.7054498371174884,0.6212408925674413,0.7739098057618039,0.7063335615219934,0.0,0.585611710838335,0.7115873481146451
O+_+_+_+_+X+X+X+O,0.0,0.8998654917235154,0.8999960290660332,0.442876866876159,0.9999999999999998,0.0,0.0,0.0,0.0
O+_+_+_+O+X+X+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+_+_+_+_+_+X+X+O,0.11656396800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064800000000000005
_+_+_+_+_+_+X+ +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5146010648324902
